id,name,type,lat,lon
380,Bank of Baroda,bank,12.998461,77.573029
381,State Bank of India,bank,12.997768,77.571726
382,Axis Bank,bank,12.996108,77.57948
383,State Bank of India,bank,12.994039,77.577689
384,Indian Bank,bank,12.993141,77.576713
385,Corporation Bank,bank,12.992795,77.589806
386,Axis Bank,bank,12.98,77.576
387,Federal Bank,bank,12.976978,77.578898
388,Supra Diagnostics Spine Care And Ortho Care Hospital,hospital,12.997,77.573004
389,K.C.General Hospital,hospital,12.996024,77.569371
390,Brik Oven,restaurant,12.985676,77.587868
391,State Bank of India,atm,12.999959,77.56027
392,State Bank of India,bank,12.984063,77.580813
393,HDFC Bank,bank,12.984414,77.578281
394,Water Monkey Cafe,cafe,12.99422,77.584323
395,Sea Rock Restaurant,restaurant,12.986776,77.579668
396,EZ Lynx,office,12.988882,77.575431
397,The Rasoi,restaurant,12.989193,77.574474
398,Dazzles and Drapes,office,12.992152,77.575213
399,Jio,office,12.990467,77.588086
400,STEGI,restaurant,12.99424,77.581471
401,Restaurent1179,restaurant,12.993633,77.580928
402,AWS,office,12.985802,77.587416
403,AMD,office,12.985776,77.587627
404,Desserted,cafe,12.992762,77.589294
405,Angas Aeronautics India,office,12.994985,77.589132
406,Mission Aerospace Foundation of India,office,12.995038,77.589157
407,Genser Aerospace,office,12.995088,77.589177
408,Nippon India Mutual Fund,office,12.995488,77.571297
409,Hyderabadi Biryani,restaurant,12.993852,77.571378
410,Tynimo,shop_supermarket,12.993568,77.571371
411,Union Bank of India,bank,12.992807,77.571239
412,Indian Overseas Bank,bank,12.997093,77.571599
413,Spawn 3D,office,12.987749,77.575543
414,Sri Govinda Rao Military Hotel,restaurant,12.972753,77.570233
415,Office of the Controller of Communication Accounts,office,12.982586,77.587668
416,ner.lu,cafe,12.98519,77.580671
417,BMIC Planning Authority,office,12.981239,77.576635
418,The Noodle Theory,restaurant,12.987332,77.580122
419,Panchavati Chemists and Druggists,pharmacy,12.98669,77.579697
420,National Insurance Company,office,12.988216,77.577585
421,Saraswati Sangeet Vidyalaya,music_school,12.988032,77.576825
422,Chalukya,shop_supermarket,12.987135,77.578442
423,way2wealth,office,12.987684,77.572411
424,Karnataka Pradesh Janata Dal (Secular),office,12.986016,77.571492
425,Barbeque Nation,restaurant,12.981376,77.563286
426,Starbucks,cafe,12.981177,77.563085
427,Canara Bank,bank,12.996191,77.564024
428,Cinepolis,cinema,12.981687,77.563283
429,Bengaluru Secretariat Fire Station,fire_station,12.977764,77.588805
430,Maayaa,restaurant,12.985922,77.587778
431,DMart,shop_supermarket,12.975895,77.577464
432,Lulu Hypermarket,shop_supermarket,12.981226,77.563381
433,Canara Bank,bank,12.999063,77.573649
434,Chili's,restaurant,12.98171,77.563616
435,BBMP Citizen Services Center,office,12.997009,77.574421
436,India Post,post_office,12.996969,77.574559
437,Basaveshwara Khanavali,restaurant,12.999394,77.57225
438,Panchayath Raj Commissionerate,office,12.97474,77.57808
439,Commercial Tax Office,office,12.975035,77.578239
440,Boba Tree,cafe,12.985735,77.587762
441,Misu,restaurant,12.985679,77.587802
442,Bank of Baroda,bank,12.984269,77.586576
443,Bandhan Bank,bank,12.996614,77.580446
444,Costa,cafe,12.98068,77.563584
445,Chai Point,cafe,12.981282,77.563736
446,Qmin,cafe,12.981872,77.563794
447,Food Track,restaurant,12.977389,77.569412
448,Davadost,pharmacy,12.977627,77.56959
449,Pizza Hut,restaurant,12.981002,77.563086
450,Punjab Grill,restaurant,12.981717,77.5637
451,Utkarsh Small Finance Bank,bank,12.997834,77.569545
452,Belaku Innovations Pvt. Ltd.,office,12.997991,77.569633
453,Temple Meals,restaurant,12.998429,77.569537
454,Axis Bank,bank,12.998542,77.569579
455,Chaitra Investments,office,12.998549,77.56964
456,Kadamba Veg,restaurant,12.976543,77.571763
457,Samudra,restaurant,12.989032,77.575006
458,Tandoori Taal,restaurant,12.985862,77.587773
459,Meteorological Centre,office,12.976692,77.583922
460,Desī Masālā,restaurant,12.97995,77.577115
461,IDC Kitchen,restaurant,12.977611,77.577802
462,Sai Grand,restaurant,12.979031,77.576292
463,Bharaṇi Kafe,restaurant,12.978846,77.579426
464,Priyadarśini,restaurant,12.977533,77.57581
465,Kanteen,restaurant,12.979511,77.57484
466,Chicken County,restaurant,12.97796,77.575257
467,Sri Krishna Medicals,pharmacy,12.978102,77.575215
468,Sri Kenchamba,restaurant,12.978369,77.576045
469,Hotel Sagar,restaurant,12.977708,77.575345
470,Amogh Medical,pharmacy,12.978341,77.575127
471,State Bank of India,bank,12.976508,77.57598
472,Amulya Veg Restaurant,restaurant,12.976677,77.576145
473,Ashok Ahaar,restaurant,12.975816,77.575762
474,Sri Maruthi Gowdas Military Hotel,restaurant,12.977121,77.576148
475,Indian Overseas Bank,bank,12.976427,77.579471
476,Union Bank of India,bank,12.978236,77.58084
477,Department Pf Mechanical Engineering,office,12.975916,77.586691
478,Royal Biriyani,restaurant,12.99018,77.57216
479,Party Hall Restaurant,restaurant,12.990361,77.571955
480,HDFC Bank,bank,12.998246,77.571023
481,Punjab National Bank,bank,12.997686,77.570249
482,Tea Time,cafe,12.996627,77.568001
483,Yes Bank,bank,12.99824,77.571244
484,Udupi Gardens,restaurant,12.997736,77.571514
485,IDBI Bank,bank,12.99972,77.569202
486,Access to Tokyo,office,12.985869,77.587625
487,Bangalore One Citizen Service Centre,office,12.997009,77.567461
488,ICICI Bank,bank,12.996304,77.587857
489,Shanti Medicals,pharmacy,12.992448,77.575656
490,Save More,shop_supermarket,12.993727,77.576979
491,KBD Sugars and Distilleries Pvt. Ltd.,office,12.998296,77.584033
492,Motilal Oswal,office,12.986263,77.58054
493,NE Pharmacy,pharmacy,12.99326,77.571151
494,Apple,office,12.990275,77.586393
495,Sublime House of Tea,cafe,12.985794,77.587769
496,Zed The Baker,cafe,12.985722,77.587928
